TABLE,PROVEN CREATE MIGRATION,ALTER MIGRATIONS,MODELS,CONTROLLERS/SERVICES/OTHER USAGE,FOREIGN KEY REFERENCES,STATUS,EVIDENCE
account_transactions,,database/migrations/2023_11_21_160728_add_created_by_col_to_account_transactions_table.php,,,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
add_ons,,database/migrations/2025_06_01_130624_add_addon_category_id_col_to_add_ons_table.php,,app/Repositories/AddonRepository.php,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
addon_categories,database/migrations/2025_06_01_125609_create_addon_categories_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
addon_settings,,,app/Models/Setting.php,app/CentralLogics/Helpers.php; app/CentralLogics/SMS_module.php; app/Http/Controllers/Admin/SMSModuleController.php; app/Http/Controllers/UpdateController.php; app/Http/Controllers/Vendor/WalletController.php; app/Traits/Processor.php; app/helpers.php,,REFERENCED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
admin_features,database/migrations/2023_05_04_101825_create_admin_features_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
admin_promotional_banners,database/migrations/2023_05_04_100930_create_admin_promotional_banners_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
admin_special_criterias,database/migrations/2023_05_04_102015_create_admin_special_criterias_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
admin_testimonials,database/migrations/2023_05_07_152523_create_admin_testimonials_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
admin_wallets,,database/migrations/2023_01_30_114113_change_delivery_charge_column_type_to_admin_wallets_table.php,,,,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
admins,,database/migrations/2022_10_22_115553_add_is_logged_column_to_admins_table.php; database/migrations/2025_07_22_130717_add_login_remember_token_to_admins_table.php; database/migrations/2026_07_10_000004_add_two_factor_auth_to_admins_table.php,,app/Http/Controllers/InstallController.php; app/Http/Controllers/LoginController.php,database/migrations/2026_07_09_000400_create_urban_goodz_age_verifications_table.php; database/migrations/2026_07_09_000600_create_ai_copilot_recommendations_table.php; database/migrations/2026_07_09_000800_create_ai_action_logs_table.php; database/migrations/2026_07_12_120000_complete_creator_reel_commerce.php; database/migrations/2026_07_16_150000_add_rbac_and_audit_to_business_portal.php; database/migrations/2026_07_16_150001_create_urban_goodz_impersonation_sessions_table.php,BLOCKED: ALTERED WITHOUT PROVEN CREATE MIGRATION,No Schema::create located; authoritative schema export required
advertisements,database/migrations/2024_07_07_111841_create_advertisements_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_action_logs,database/migrations/2026_07_09_000800_create_ai_action_logs_table.php,,app/Models/AiActionLog.php,app/Http/Controllers/Admin/UrbanGoodz/BusinessAiLogisticsController.php,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_agents,database/migrations/2026_07_19_160000_create_ai_agents_table.php,,,,database/migrations/2026_07_19_160100_create_ai_tasks_table.php; database/migrations/2026_07_19_160200_create_ai_workforce_actions_table.php; database/migrations/2026_07_19_160500_create_ai_outreach_tables.php; database/migrations/2026_07_19_160600_create_ai_audit_events_table.php,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_approvals,database/migrations/2026_07_19_160300_create_ai_approvals_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_audit_events,database/migrations/2026_07_19_160600_create_ai_audit_events_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_companion_contexts,database/migrations/2026_07_19_160900_create_ai_companion_contexts_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_copilot_recommendations,database/migrations/2026_07_09_000600_create_ai_copilot_recommendations_table.php,database/migrations/2026_07_09_000600_create_ai_copilot_recommendations_table.php,,,database/migrations/2026_07_09_000800_create_ai_action_logs_table.php,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_copilot_settings,database/migrations/2026_07_09_000700_create_ai_copilot_settings_table.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_dispatches,database/migrations/2026_07_21_000001_create_ai_dispatches_table.php,,app/Models/AiDispatch.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_module_automation_settings,database/migrations/2026_07_09_001000_create_ai_module_automation_settings_table.php,,app/Models/AiModuleAutomationSetting.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_outreach_messages,database/migrations/2026_07_19_160500_create_ai_outreach_tables.php,,,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_outreach_templates,database/migrations/2026_07_19_160500_create_ai_outreach_tables.php,,,,database/migrations/2026_07_19_160500_create_ai_outreach_tables.php,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_risk_rules,database/migrations/2026_07_09_000900_create_ai_risk_rules_table.php,,app/Models/AiRiskRule.php,,,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
ai_tasks,database/migrations/2026_07_19_160100_create_ai_tasks_table.php,,,,database/migrations/2026_07_19_160200_create_ai_workforce_actions_table.php; database/migrations/2026_07_19_160500_create_ai_outreach_tables.php; database/migrations/2026_07_19_160600_create_ai_audit_events_table.php,MIGRATION BASELINE PRESENT,Schema::create located in committed migration
