SURFACE,ROLE,SCREEN NAME,ROUTE OR MOBILE NAVIGATION PATH,SOURCE FILE,SOURCE LINE,CONTROLLER OR VIEWMODEL,PERMISSION,VISIBLE TITLE,CONTROL TYPE,CONTROL NAME,TABS,CARDS,TABLES,TABLE COLUMNS,BUTTONS,DROPDOWNS,FILTERS,SEARCH FIELDS,TEXT FIELDS,DATE PICKERS,CHECKBOXES,RADIO BUTTONS,TOGGLES,UPLOAD CONTROLS,CAMERA CONTROLS,SCANNER CONTROLS,MAP CONTROLS,PAGINATION,MODALS,MENUS,ACTION MENUS,STATUS BADGES,EMPTY STATES,ERROR STATES,VALIDATION,EXPECTED ACTION,CURRENT ACTION,API ENDPOINT,DATABASE EFFECT,NEXT ROLE VISIBILITY,NOTIFICATION,TEST COVERAGE,CURRENT STATUS,DEFECT,SEVERITY,FIX STATUS
PUBLIC WEBSITE,public/customer,about-us.blade.php,route:home,resources/views/about-us.blade.php,11,requires route-level trace,not proven in view,{{…}},link,link@11,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:home,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,PARTIALLY WIRED,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/edit.blade.php,route:admin.account-transaction.store,resources/views/admin-views/account/edit.blade.php,20,requires route-level trace,not proven in view,{{…}},form,add_transaction,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.account-transaction.store,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/edit.blade.php,not statically resolved,resources/views/admin-views/account/edit.blade.php,27,requires route-level trace,not proven in view,{{…}},select,type,,,,,,type,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/edit.blade.php,not statically resolved,resources/views/admin-views/account/edit.blade.php,36,requires route-level trace,not proven in view,{{…}},select,Select Restaurant,,,,,,Select Restaurant,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/edit.blade.php,not statically resolved,resources/views/admin-views/account/edit.blade.php,44,requires route-level trace,not proven in view,{{…}},select,Select deliveryman,,,,,,Select deliveryman,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/edit.blade.php,not statically resolved,resources/views/admin-views/account/edit.blade.php,55,requires route-level trace,not proven in view,{{…}},input:text,method,,,,,,,,,method,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/edit.blade.php,not statically resolved,resources/views/admin-views/account/edit.blade.php,61,requires route-level trace,not proven in view,{{…}},input:text,ref,,,,,,,,,ref,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/edit.blade.php,not statically resolved,resources/views/admin-views/account/edit.blade.php,67,requires route-level trace,not proven in view,{{…}},input:number,amount,,,,,,,,,amount,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/edit.blade.php,not statically resolved,resources/views/admin-views/account/edit.blade.php,72,requires route-level trace,not proven in view,{{…}},input:submit,input:submit@72,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,route:admin.transactions.account-transaction.store,resources/views/admin-views/account/index.blade.php,19,requires route-level trace,not proven in view,,form,add_transaction,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.transactions.account-transaction.store,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,25,requires route-level trace,not proven in view,,select,type,,,,,,type,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,37,requires route-level trace,not proven in view,,select,Select Restaurant,,,,,,Select Restaurant,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,45,requires route-level trace,not proven in view,,select,Select deliveryman,,,,,,Select deliveryman,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,54,requires route-level trace,not proven in view,,select,Select rider,,,,,,Select rider,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,63,requires route-level trace,not proven in view,,input:text,{{…}},,{{…}},,,,,,,{{…}},,,,,,,,,,,,,,,,required,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,69,requires route-level trace,not proven in view,,input:text,ref,,,,,,,,,ref,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,75,requires route-level trace,not proven in view,,input:number,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,80,requires route-level trace,not proven in view,,button,reset_btn,,,,,reset_btn,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,82,requires route-level trace,not proven in view,,button,button@82,,,,,button@82,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,103,requires route-level trace,not proven in view,,form,form@103,,,,,,,,form@103,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,105,requires route-level trace,not proven in view,,input:search,{{…}},{{…}},,,,,,,{{…}},,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,106,requires route-level trace,not proven in view,,button,button@106,,,,,button@106,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,111,requires route-level trace,not proven in view,,button,button@111,,,,,button@111,,,,,,,,,,,,button@111,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,116,requires route-level trace,not proven in view,,menu/action link,menu/action link@116,,,,,,,,,,,,,menu/action link@116,,,,,,,menu/action link@116,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,route:admin.transactions.account-transaction.export,resources/views/admin-views/account/index.blade.php,127,requires route-level trace,not proven in view,,menu/action link,export-excel,,,,,,,,,,,,,,,,,,,,export-excel,export-excel,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.transactions.account-transaction.export,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,route:admin.transactions.account-transaction.export,resources/views/admin-views/account/index.blade.php,133,requires route-level trace,not proven in view,,menu/action link,export-csv,,,,,,,,,,,,,,,,,,,,export-csv,export-csv,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.transactions.account-transaction.export,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,145,requires route-level trace,not proven in view,,table,datatable,datatable,datatable,datatable,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,149,requires route-level trace,not proven in view,,th,th@149,,,,th@149,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,150,requires route-level trace,not proven in view,,th,th@150,,,,th@150,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,151,requires route-level trace,not proven in view,,th,th@151,,,,th@151,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,152,requires route-level trace,not proven in view,,th,th@152,,,,th@152,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,153,requires route-level trace,not proven in view,,th,th@153,,,,th@153,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,154,requires route-level trace,not proven in view,,th,th@154,,,,th@154,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,155,requires route-level trace,not proven in view,,th,th@155,,,,th@155,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,route:admin.store.view,resources/views/admin-views/account/index.blade.php,164,requires route-level trace,not proven in view,,link,link@164,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.store.view,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,route:admin.users.delivery-man.preview,resources/views/admin-views/account/index.blade.php,166,requires route-level trace,not proven in view,,link,link@166,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.users.delivery-man.preview,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,route:admin.users.rider.preview,resources/views/admin-views/account/index.blade.php,168,requires route-level trace,not proven in view,,link,link@168,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.users.rider.preview,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,183,requires route-level trace,not proven in view,,link,link@183,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,266,requires route-level trace,not proven in view,,link,phone,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/index.blade.php,not statically resolved,resources/views/admin-views/account/index.blade.php,270,requires route-level trace,not proven in view,,link,address,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/partials/_table.blade.php,route:admin.store.view,resources/views/admin-views/account/partials/_table.blade.php,6,requires route-level trace,not proven in view,_table.blade.php,link,link@6,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.store.view,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/partials/_table.blade.php,route:admin.users.delivery-man.preview,resources/views/admin-views/account/partials/_table.blade.php,8,requires route-level trace,not proven in view,_table.blade.php,link,link@8,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.users.delivery-man.preview,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/account/partials/_table.blade.php,route:admin.transactions.account-transaction.view,resources/views/admin-views/account/partials/_table.blade.php,23,requires route-level trace,not proven in view,_table.blade.php,link,link@23,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.transactions.account-transaction.view,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,15,requires route-level trace,not proven in view,{{…}},button,button@15,,,,,button@15,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,route:admin.business-settings.addon-activation.activation,resources/views/admin-views/addon-activation/index.blade.php,21,requires route-level trace,not proven in view,{{…}},form,form@21,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.addon-activation.activation,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,23,requires route-level trace,not proven in view,{{…}},input:hidden,addon_name,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,24,requires route-level trace,not proven in view,{{…}},input:hidden,software_type,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,25,requires route-level trace,not proven in view,{{…}},input:hidden,software_id,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,26,requires route-level trace,not proven in view,{{…}},input:hidden,key,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,43,requires route-level trace,not proven in view,{{…}},input:checkbox,addon_activation_vendor_app_status,,,,,,,,,,,addon_activation_vendor_app_status,,addon_activation_vendor_app_status,,,,,,addon_activation_vendor_app_status,,,addon_activation_vendor_app_status,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,75,requires route-level trace,not proven in view,{{…}},input:text,{{…}}: {{…}},,,,,,,,,{{…}}: {{…}},,,,,,,,,,,,,,,,required,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,86,requires route-level trace,not proven in view,{{…}},input:text,{{…}}: {{…}},,,,,,,,,{{…}}: {{…}},,,,,,,,,,,,,,,,required,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,94,requires route-level trace,not proven in view,{{…}},button,button@94,,,,,button@94,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,95,requires route-level trace,not proven in view,{{…}},button,button@95,,,,,button@95,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,route:admin.business-settings.addon-activation.activation,resources/views/admin-views/addon-activation/index.blade.php,102,requires route-level trace,not proven in view,{{…}},form,form@102,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.addon-activation.activation,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/addon-activation/index.blade.php,not statically resolved,resources/views/admin-views/addon-activation/index.blade.php,104,requires route-level trace,not proven in view,{{…}},input:hidden,addon_name,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
