migration,action,evidence
0000_00_00_000000_create_websockets_statistics_entries_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table websockets_statistics_entries"
2014_10_12_000000_create_users_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table users"
2014_10_12_000001_create_modules_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table modules"
2016_06_01_000001_create_oauth_auth_codes_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table oauth_auth_codes"
2016_06_01_000002_create_oauth_access_tokens_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table oauth_access_tokens"
2016_06_01_000003_create_oauth_refresh_tokens_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table oauth_refresh_tokens"
2016_06_01_000004_create_oauth_clients_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table oauth_clients"
2016_06_01_000005_create_oauth_personal_access_clients_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table oauth_personal_access_clients"
2022_03_31_103418_create_wallet_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table wallet_transactions"
2022_03_31_103827_create_loyalty_point_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table loyalty_point_transactions"
2022_04_09_161150_add_wallet_point_columns_to_users_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: users.wallet_balance, users.loyalty_point"
2022_04_10_030533_create_newsletters_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table newsletters"
2022_04_12_015827_create_social_media_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table social_media"
2022_04_12_215009_create_jobs_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table jobs"
2022_04_21_145207_add_column_to_modules_table,RECORDED-NOT-EXECUTED,"RESOLVED: up() body is an explicit no-op: ""Already created in create_modules_table""."
2022_05_09_235959_create_zones_table_if_missing,RECORDED-NOT-EXECUTED,"every intended effect verified present: table zones"
2022_05_10_000000_create_customer_addresses_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table customer_addresses"
2022_05_14_122133_add_dm_tips_column_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.dm_tips"
2022_05_14_122603_add_dm_tips_column_to_order_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_transactions.dm_tips"
2022_05_14_155444_add_all_zones_column_to_modules_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: modules.all_zone_service"
2022_05_17_153333_add_ref_code_to_users_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: users.ref_code"
2022_05_26_120821_change_data_column_to_user_notifiations_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: user_notifications.data"
2022_07_31_103626_add_free_delivery_by_column_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.free_delivery_by"
2022_09_10_112137_create_user_infos_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table user_infos"
2022_09_10_112203_create_conversations_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table conversations"
2022_09_10_112220_create_messages_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table messages"
