row,business_name,category,module_name,city,state,zone,age_restricted,module_id,category_ids
2,Lucille's,Restaurants,"Restaurants/Brick and Mortar",Houston,TX,"Greater Houston Area",no,4,[]
4,"Gatlin's BBQ",Restaurants,"Restaurants/Brick and Mortar",Houston,TX,"Greater Houston Area",no,4,[14]
5,"Gatlin's Fins & Feathers",Restaurants,"Restaurants/Brick and Mortar",Houston,TX,"Greater Houston Area",no,4,[]
6,"Ms. Myrtle's Bakery","Home-Based Businessz","Home-Based Businesses",Houston,TX,"Greater Houston Area",no,6,[]
7,"DossCouture Designs","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[]
8,"River Oaks Galleria Medspa","Beauty / Personal Care","Beauty/Personal Care",Houston,TX,"Greater Houston Area",no,14,[]
9,"Beauty By Umar Hair Salon","Beauty / Personal Care","Beauty/Personal Care",Houston,TX,"Greater Houston Area",no,14,[]
10,"Makeda's Homemade Butter Cookies","Grocery / Markets",Grocery/Markets,Memphis,TN,"Memphis Area",no,5,[]
11,Alcenia's,Restaurants,"Restaurants/Brick and Mortar",Memphis,TN,"Memphis Area",no,4,[]
12,"Alta Adams",Restaurants,"Restaurants/Brick and Mortar","Los Angeles",CA,"Greater Los Angeles Area",no,4,[]
13,"Post & Beam",Restaurants,"Restaurants/Brick and Mortar","Los Angeles",CA,"Greater Los Angeles Area",no,4,[]
14,"Red Rooster Overtown",Restaurants,"Restaurants/Brick and Mortar",Miami,FL,"Greater Miami Area",no,4,[]
15,"Ben's Chili Bowl",Restaurants,"Restaurants/Brick and Mortar",Washington,DC,"Greater DMV Area",no,4,[]
16,"Oohh's & Aahh's",Restaurants,"Restaurants/Brick and Mortar",Washington,DC,"Greater DMV Area",no,4,[]
17,"Mert's Heart & Soul",Restaurants,"Restaurants/Brick and Mortar",Charlotte,NC,"Greater Charlotte Area",no,4,[]
18,"Sylvia's Restaurant",Restaurants,"Restaurants/Brick and Mortar","New York",NY,"Greater NYC Area",no,4,[]
19,"Amy Ruth's",Restaurants,"Restaurants/Brick and Mortar","New York",NY,"Greater NYC Area",no,4,[]
20,"Melba's Restaurant",Restaurants,"Restaurants/Brick and Mortar","New York",NY,"Greater NYC Area",no,4,[]
21,"Londel's Supper Club",Restaurants,"Restaurants/Brick and Mortar","New York",NY,"Greater NYC Area",no,4,[]
22,"Burn's Original BBQ",Restaurants,"Restaurants/Brick and Mortar",Houston,TX,"Greater Houston Area",no,4,[14]
24,"Frenchy's Chicken",Restaurants,"Restaurants/Brick and Mortar",Houston,TX,"Greater Houston Area",no,4,[]
25,"Splendid Spoonful HTX","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[]
26,"Simply Mel Skincare","Beauty / Personal Care","Beauty/Personal Care",Houston,TX,"Greater Houston Area",no,14,[]
27,"Touch of Essence Beauty Supply","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Houston,TX,"Greater Houston Area",no,16,[]
28,"Erk & Jerk",Restaurants,"Restaurants/Brick and Mortar",Houston,TX,"Greater Houston Area",no,4,[]
29,"Amazing Street Beans HTX",Restaurants,"Restaurants/Brick and Mortar",Houston,TX,"Greater Houston Area",no,4,[]
30,"Manner + Manner","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[]
31,"Seven Thirteen Boutique","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[]
32,"The Reggae Hut",Restaurants,"Restaurants/Brick and Mortar",Houston,TX,"Greater Houston Area",no,4,[]
33,"Sauce Another HTX",Restaurants,"Restaurants/Brick and Mortar",Houston,TX,"Greater Houston Area",no,4,[]
34,"Anna J Custom Jewelry","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[90]
35,"ChariT's Inspirational Creations","Retail / Shopping",Retail/Shopping,Houston,TX,"Greater Houston Area",no,13,[91]
