row,business_name,category,module_name,city,state
2,Lucille's,Restaurants,"Restaurants/Brick and Mortar",Houston,TX
5,"Gatlin's Fins & Feathers",Restaurants,"Restaurants/Brick and Mortar",Houston,TX
6,"Ms. Myrtle's Bakery","Home-Based Businessz","Home-Based Businesses",Houston,TX
7,"DossCouture Designs","Retail / Shopping",Retail/Shopping,Houston,TX
8,"River Oaks Galleria Medspa","Beauty / Personal Care","Beauty/Personal Care",Houston,TX
9,"Beauty By Umar Hair Salon","Beauty / Personal Care","Beauty/Personal Care",Houston,TX
10,"Makeda's Homemade Butter Cookies","Grocery / Markets",Grocery/Markets,Memphis,TN
11,Alcenia's,Restaurants,"Restaurants/Brick and Mortar",Memphis,TN
12,"Alta Adams",Restaurants,"Restaurants/Brick and Mortar","Los Angeles",CA
13,"Post & Beam",Restaurants,"Restaurants/Brick and Mortar","Los Angeles",CA
14,"Red Rooster Overtown",Restaurants,"Restaurants/Brick and Mortar",Miami,FL
15,"Ben's Chili Bowl",Restaurants,"Restaurants/Brick and Mortar",Washington,DC
16,"Oohh's & Aahh's",Restaurants,"Restaurants/Brick and Mortar",Washington,DC
17,"Mert's Heart & Soul",Restaurants,"Restaurants/Brick and Mortar",Charlotte,NC
18,"Sylvia's Restaurant",Restaurants,"Restaurants/Brick and Mortar","New York",NY
19,"Amy Ruth's",Restaurants,"Restaurants/Brick and Mortar","New York",NY
20,"Melba's Restaurant",Restaurants,"Restaurants/Brick and Mortar","New York",NY
21,"Londel's Supper Club",Restaurants,"Restaurants/Brick and Mortar","New York",NY
24,"Frenchy's Chicken",Restaurants,"Restaurants/Brick and Mortar",Houston,TX
25,"Splendid Spoonful HTX","Retail / Shopping",Retail/Shopping,Houston,TX
26,"Simply Mel Skincare","Beauty / Personal Care","Beauty/Personal Care",Houston,TX
27,"Touch of Essence Beauty Supply","Beauty Supply / Hair Providerz","Beauty Supply/Hair Providers",Houston,TX
28,"Erk & Jerk",Restaurants,"Restaurants/Brick and Mortar",Houston,TX
29,"Amazing Street Beans HTX",Restaurants,"Restaurants/Brick and Mortar",Houston,TX
30,"Manner + Manner","Retail / Shopping",Retail/Shopping,Houston,TX
31,"Seven Thirteen Boutique","Retail / Shopping",Retail/Shopping,Houston,TX
