row,business_name,category,city,state,source_url
228,"Island Courier Services","Courier / Parcel",Wharton,TX,"https://www.google.com/search?q=Island%20Courier%20Services+Texas City+TX"
229,"Texas City Soul Food",Restaurants,Angleton,TX,"https://www.google.com/search?q=Texas%20City%20Soul%20Food+Texas City+TX"
231,"Bay City BBQ",Restaurants,"Texas City",TX,"https://www.google.com/search?q=Bay%20City%20BBQ+Bay City+TX"
238,"Sha BeBe Cajun Cafe",Restaurants,Clute,TX,"https://www.google.com/search?q=Sha%20BeBe%20Cajun%20Cafe+Port Arthur+TX"
244,"Eaglin Motor Lines","Courier / Parcel",Beaumont,TX,"https://www.google.com/search?q=Eaglin%20Motor%20Lines+Port Arthur+TX"
258,"The Blk Lifestyle","Retail / Shopping","Los Angeles",CA,"https://www.google.com/search?q=The%20Blk%20Lifestyle+Los Angeles+CA"
259,"ConditionHER Hair","Beauty / Personal Care","Los Angeles",CA,"https://www.google.com/search?q=ConditionHER%20Hair+Los Angeles+CA"
260,"Contented Nail Parlor","Beauty / Personal Care","Los Angeles",CA,"https://www.google.com/search?q=Contented%20Nail%20Parlor+Los Angeles+CA"
261,"Britt Brow","Beauty / Personal Care","Los Angeles",CA,"https://www.google.com/search?q=Britt%20Brow+Los Angeles+CA"
262,"Crystal Eyes Healing","Pharmacy / Health","Los Angeles",CA,"https://www.google.com/search?q=Crystal%20Eyes%20Healing+Los Angeles+CA"
263,"Mae's Courier LA","Courier / Parcel","Los Angeles",CA,"https://www.google.com/search?q=Mae's%20Courier%20LA+Los Angeles+CA"
264,"Soul 2 Soul Global Events","Local Events / Creators","Los Angeles",CA,"https://www.google.com/search?q=Soul%202%20Soul%20Global%20Events+Los Angeles+CA"
273,"1QTEE Boutique","Retail / Shopping","Las Vegas",NV,"https://www.google.com/search?q=1QTEE%20Boutique+Las Vegas+NV"
274,"Slauson Grill",Restaurants,"Las Vegas",NV,"https://www.google.com/search?q=Slauson%20Grill+Las Vegas+NV"
275,"Hibachi Vegas Food Truck","Food Trucks","Las Vegas",NV,"https://www.google.com/search?q=Hibachi%20Vegas%20Food%20Truck+Las Vegas+NV"
276,"Afiya Express Courier","Courier / Parcel","Las Vegas",NV,"https://www.google.com/search?q=Afiya%20Express%20Courier+Las Vegas+NV"
277,"Sweets by Sherell","Home-Based Businessz","Las Vegas",NV,"https://www.google.com/search?q=Sweets%20by%20Sherell+Las Vegas+NV"
278,"Vegas Health First Pharmacy","Pharmacy / Health","Las Vegas",NV,"https://www.google.com/search?q=Vegas%20Health%20First%20Pharmacy+Las Vegas+NV"
330,"Harlem Health Pharmacy","Pharmacy / Health","New York",NY,"https://www.google.com/search?q=Harlem%20Health%20Pharmacy+New York+NY"
331,"Big Apple Courier","Courier / Parcel","New York",NY,"https://www.google.com/search?q=Big%20Apple%20Courier+New York+NY"
332,"Harlem Events Collective","Local Events / Creators","New York",NY,"https://www.google.com/search?q=Harlem%20Events%20Collective+New York+NY"
333,"Piece of Cake Bakery","Home-Based Businessz","New York",NY,"https://www.google.com/search?q=Piece%20of%20Cake%20Bakery+New York+NY"
334,"Harlem Nail Studio","Beauty / Personal Care","New York",NY,"https://www.google.com/search?q=Harlem%20Nail%20Studio+New York+NY"
335,"Brooklyn Barber Co.","Beauty / Personal Care","New York",NY,"https://www.google.com/search?q=Brooklyn%20Barber%20Co.+New York+NY"
336,"The Brownstone Event Space","Local Events / Creators","New York",NY,"https://www.google.com/search?q=The%20Brownstone%20Event%20Space+New York+NY"
337,"Uptown Mobile Deli","Food Trucks","New York",NY,"https://www.google.com/search?q=Uptown%20Mobile%20Deli+New York+NY"
